arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,lir,sat_level,sat_score
"pd-default","200","123",17.60457117478393,5292.55465627396,4000,121.9935515,145.8882,153.33114999999998,155.14731999999995,14305.433030999999,26688.224899999997,30044.22195,33900.549439999995,46.342506522513624,80.319,81.078,81.614,0,0,3992,"1.0020","STABLE",0
"pd-default","200","777",17.19181094732831,5171.760911851933,4000,121.70580700000001,149.79899999999998,154.45305,165.71357999999998,14561.848382,28274.8226,32004.237299999986,36632.9369,46.45939791529782,80.831,81.74,86.074,0,0,3994,"1.0015","STABLE",0
"pd-default","300","42",17.558177958199956,5294.374463814397,4000,122.54301799999999,149.27800000000002,153.71405,156.73109999999997,14578.590571249999,27322.0971,30585.869899999987,34348.20663,47.04446517814584,80.182,80.976,81.496,0,0,3996,"1.0010","STABLE",0
"pd-default","300","123",17.59091124759479,5288.448000648471,4000,122.58834875000001,146.0964,153.524,159.37830999999895,14457.45129575,27151.565000000002,30694.09189999999,34758.59446,46.572839200327735,80.298,81.08,81.737,0,0,3992,"1.0020","STABLE",0
"pd-default","300","777",17.56399091003753,5283.72269349386,4000,122.5042935,148.019,153.53525,155.46575999999993,14539.581271,27455.6656,30858.56724999999,34763.74436999999,46.86517223098654,80.302,81.107,81.619,0,0,3996,"1.0010","STABLE",0
"pd-default","400","42",17.69814383902703,5336.578830749297,4000,123.29619575,147.49710000000002,153.65645,202.9714599999999,14411.189238250001,27140.2238,30630.2234,34953.87436,46.34846687180204,80.143,80.91,81.516,0,0,3992,"1.0020","STABLE",0
"pd-default","400","123",17.665996381959776,5311.021238789573,4000,123.930792,147.0569,153.84615,211.0306999999999,14513.41291475,27308.230999999996,31126.10875,35552.55145,46.676973340920334,80.319,81.086,81.66,0,0,3995,"1.0013","STABLE",0
"pd-default","400","777",17.552620870462903,5280.302278598744,4000,123.6627895,149.7482,153.9012,195.41608,14618.50497625,27549.776400000002,31354.266299999992,35119.30847999999,47.02502291237947,80.309,81.096,81.645,0,0,3992,"1.0020","STABLE",0
"pd-champ","200","42",17.63373298558025,5317.156816774215,4000,121.40516025,146.1788,153.1311,154.96115,14195.3641735,26560.153099999996,29818.858299999996,33540.941759999994,45.99429002032221,80.176,80.947,81.446,0,0,3994,"1.0015","STABLE",0
"pd-champ","200","123",17.604110644335183,5292.416204587369,4000,122.31937575,145.8746,153.55605,156.01258999999993,14308.65021475,26708.721,30009.229649999997,33914.09516,46.33060500141421,80.299,81.084,81.643,0,0,3997,"1.0008","STABLE",0
"pd-champ","200","777",17.523442609623668,5271.524669925259,4000,121.869027,146.10479999999998,153.282,155.11327,14414.468004249999,27067.159899999995,30496.54404999999,34203.59634999998,46.609161091229275,80.344,81.152,81.672,0,0,3994,"1.0015","STABLE",0
"pd-champ","300","42",17.66356797343244,5326.153057624997,4000,122.38572625,147.6884,153.4262,164.19310999999973,14349.96653375,26985.9165,30275.92834999999,34447.725739999994,46.28691354034869,80.226,80.997,81.49,0,0,3993,"1.0018","STABLE",0
"pd-champ","300","123",17.611888736417388,5294.754573245025,4000,123.2085335,146.1288,153.714,180.527179999998,14430.41703625,27050.6325,30899.415049999996,35292.213130000004,46.50049033282966,80.323,81.094,81.691,0,0,3998,"1.0005","STABLE",0
"pd-champ","300","777",17.550942224088395,5279.7972964458395,4000,122.52944175,148.0131,153.4126,155.06124,14568.00191725,27402.8841,30973.999649999998,35151.75734,46.95424533314211,80.363,81.153,81.662,0,0,3996,"1.0010","STABLE",0
"pd-champ","400","42",17.68321415723784,5332.077035277936,4000,123.52488125,148.4186,153.7106,206.7842899999999,14409.05199675,27201.8342,30705.12679999999,34585.47348,46.35405289764111,80.164,80.96,81.517,0,0,3996,"1.0010","STABLE",0
"pd-champ","400","123",17.64396057000032,5304.3964969521885,4000,123.88903049999999,148.48869999999997,153.8371,210.28917999999948,14501.20672475,27504.265399999997,30921.9863,34900.53032,46.663758307809246,80.353,81.127,81.631,0,0,3996,"1.0010","STABLE",0
"pd-champ","400","777",17.51554231795091,5269.148048882218,4000,123.53758624999999,148.457,153.7077,191.53517999999912,14641.8530125,27580.344,31346.261499999993,35537.138219999986,47.076516388617435,80.331,81.112,81.72,0,0,3998,"1.0005","STABLE",0
