arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score,goodput_rps,slo_attainment
"agg-4xtp4","0.2","42",0.19217688555833912,799.2859595558572,500,46.124614,53.561800000000005,57.1447,107.19705999999995,73614.57670399999,123797.5078,139375.933,143832.58948000002,17.692549964936042,18.248,18.45,18.788,0,0,0,"STABLE",0,0.19217688555833912,1
"agg-4xtp4","0.2","123",0.20489791962081227,816.5977100817498,500,46.246556,53.764100000000006,61.6218,99.2216099999999,70678.16303,131482.9482,140322.81575,144121.65211999998,17.72697324507553,18.276,18.46,18.844,0,0,0,"STABLE",0,0.20489791962081227,1
"agg-4xtp4","0.2","777",0.1886979567860341,767.8561414842607,500,45.686266,53.0108,58.4023,90.4596999999999,71894.02978,132456.66170000003,140399.18185,143513.52282,17.660627809019836,18.172,18.337,18.676,0,0,0,"STABLE",0,0.1886979567860341,1
"agg-4xtp4","0.5","42",0.444705861523965,1849.5832639581072,500,48.474962,55.9993,62.50339999999997,113.69353999999997,79527.05106200001,135330.16440000004,149755.07955,156871.207,19.113896557960384,20.199,20.542,20.949,0,0,0,"OVERLOADED",0.09914624264166523,0.444705861523965,1
"agg-4xtp4","0.5","123",0.47023101418039837,1874.0530411423895,500,48.213722000000004,55.5118,60.75499999999995,106.74154999999996,76915.971436,142338.38700000002,152095.65395,156773.69328999997,19.2920420184982,20.498,20.755,21.094,0,0,0,"STABLE",0,0.47023101418039837,1
"agg-4xtp4","0.5","777",0.4425607046710703,1800.883066511478,500,47.96646,55.892300000000006,60.78569999999998,91.64267999999979,77863.168888,144136.86789999998,150693.47884999996,157189.3915,19.12732291898647,20.143,20.439,21.19,0,0,0,"OVERLOADED",0.15420866052378027,0.4425607046710703,1
"agg-4xtp4","1","42",0.7682246242584938,3195.13532634749,500,52.231262,60.077400000000004,65.22465,110.43683999999985,90260.981042,155256.5624,169084.02724999996,180553.35337,21.694433916706508,23.475,23.907,24.612,0,0,0,"STABLE",0,0.7682246242584938,1
"agg-4xtp4","1","123",0.8078268547348333,3219.5034529379477,500,52.018396,61.170500000000004,64.51404999999997,114.00851999999998,87694.041002,157655.9911,173982.03055,183362.41387999998,21.99616242343868,23.776,24.022,24.463,0,0,0,"OVERLOADED",0.4308564469933386,0.8078268547348333,1
"agg-4xtp4","1","777",0.7733840115170986,3147.080514721769,500,51.516336,60.18590000000001,65.59109999999997,98.79056999999987,88406.81401199999,160980.9177,173473.07599999997,181065.06934999998,21.718151088654192,23.349,23.694,24.611,0,0,0,"OVERLOADED",0.37841150247258104,0.7733840115170986,1
"agg-4xtp4","2","42",1.1493841473306345,4780.4219973091995,500,58.070550000000004,71.01610000000001,77.95054999999999,124.28810999999979,110418.724988,187466.7025,201403.27279999992,223633.43894,26.540836628415367,29.882,30.273,31.047,0,0,0,"OVERLOADED",0.6624368214054814,1.1493841473306345,1
"agg-4xtp4","2","123",1.2013816869727645,4787.972158681012,500,57.732756,73.01020000000001,77.3951,113.38816999999993,106777.08951399999,190147.9837,209009.98349999997,221392.81831,26.7841836081225,31.022,31.74,32.67,0,0,0,"OVERLOADED",1,1.2013816869727645,1
"agg-4xtp4","2","777",1.1643484578138308,4738.006332383606,500,57.259347999999996,71.3685,74.93685,114.8792,107194.67989,192607.3647,208358.50564999998,221469.20556999996,26.33492654109867,30.099,30.567,31.207,0,0,0,"OVERLOADED",0.8509673275841958,1.1643484578138308,1
"agg-4xtp4","5","42",1.491680113889419,6204.070628559304,500,60.886122,78.3951,86.07365,130.6548099999999,135033.63597600002,223711.1709,239827.76359999998,252615.00804,32.459886365363545,38.433,38.836,39.373,0,0,0,"OVERLOADED",1,1.491680113889419,1
