arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"agg-4xtp4","10","42",8.912185619365909,2707.334835265356,2000,49.647358,59.0111,61.00305,64.54701999999999,6461.0022945,10391.1566,11433.0913,13621.290989999998,21.172465516102505,22.429,22.83,26.379,0,0,0,"OVERLOADED",0.07048291750165651
"agg-4xtp4","10","123",9.149704677269558,2726.3603769477036,2000,49.688052000000006,58.6641,61.36075,65.87709,6368.798283,10421.5833,11494.701999999997,13601.39568,21.27581924588977,22.811,23.308,26.567,0,0,0,"OVERLOADED",0.04268559459094904
"agg-4xtp4","10","777",9.40702657473719,2792.4476176310104,2000,49.7331,58.624100000000006,60.7303,65.95204999999999,6342.650289,10311.582100000001,11538.72745,13529.40771,21.268223740649727,22.643,23.047,26.372,0,0,0,"STABLE",0
"agg-4xtp4","30","42",10.24668825114469,3112.728710244483,2000,56.262379,70.1699,73.9894,79.01968,8064.527016,13103.2875,14462.370499999999,16665.56177,26.446641401814524,31.87,32.663,35.299,0,0,0,"STABLE",0
"agg-4xtp4","30","123",10.129607569126405,3018.3444913915177,2000,57.568549,72.828,77.06915,82.31142,8205.901593,13385.589300000005,14942.706999999999,17384.35743,27.435388946788002,33.707,34.77,37.164,0,0,0,"STABLE",0
"agg-4xtp4","30","777",10.267153595324125,3047.7737433111806,2000,56.875277499999996,72.2052,76.6,81.85979999999999,8075.6492044999995,13205.128000000002,14648.7912,17122.746759999998,27.101836175455556,33.38,34.642,36.479,0,0,0,"STABLE",0
"agg-4xtp4","50","42",10.316562481765477,3133.9550341482345,2000,58.136826,75.19690000000001,79.77680000000001,87.0094,8670.496933499999,14145.432300000002,15358.469949999999,17666.30532,28.44181104865265,36.763,39.001,40.857,0,0,0,"STABLE",0
"agg-4xtp4","50","123",10.22577655672007,3047.0002050472713,2000,59.01095350000001,76.5963,82.37044999999999,92.18045,8742.002813,14256.478200000005,15753.047599999996,18334.495010000002,29.23575367921272,38.816,40.74,42.555,0,0,0,"STABLE",0
"agg-4xtp4","50","777",10.360742723103858,3075.5553951252105,2000,58.669472,76.2315,82.0331,91.31800999999999,8601.113548000001,14116.839700000004,15592.41505,18050.47863,28.871907019506704,38.068,40.321,43.14,0,0,0,"STABLE",0
"agg-4xtp4","80","42",10.363143137375573,3148.105259128814,2000,59.193178,77.1488,83.7207,92.35508,9027.431853499998,14740.420600000003,15826.2377,18457.63547,29.617185060720853,39.875,42.235,44.439,0,0,0,"STABLE",0
"agg-4xtp4","80","123",10.302486250585169,3069.857584302489,2000,59.753886,77.75700000000002,83.1873,94.28123000000001,9010.5083905,14757.415400000002,16262.6931,18554.7038,30.137394891782908,41.382,43.625,45.721,0,0,0,"STABLE",0
"agg-4xtp4","80","777",10.405067888203602,3088.713187409575,2000,59.2064275,76.99700000000003,82.87235,94.35849999999999,8870.9085495,14668.194000000001,16063.13115,18593.52849,29.782033017066254,40.763,43.391,45.005,0,0,0,"STABLE",0
"agg-4xtp4","100","42",10.385782055464459,3154.982487026938,2000,59.4903865,77.79620000000001,83.64185,95.68335,9136.1141755,14850.878400000001,15970.57635,18458.01076,29.97515279791531,40.942,43.468,45.188,0,0,0,"STABLE",0
"agg-4xtp4","100","123",10.335708355084831,3079.756857835515,2000,59.7055,78.53840000000001,84.69185,94.83785,9087.1203055,15020.664300000002,16392.626949999998,18676.48711,30.395534285161084,42.014,44.234,46.21635999999964,0,0,0,"STABLE",0
"agg-4xtp4","100","777",10.450993881418603,3102.346180717468,2000,59.640184500000004,76.90090000000001,83.71940000000001,94.82023,8949.946713,14738.296100000001,16244.671349999999,18774.58057,30.047725778865427,41.723,44.115,45.876,0,0,0,"STABLE",0
"agg-4xtp4","120","42",10.397796939739122,3158.6323565570106,2000,59.798972,79.109,84.44715000000001,95.79171,9203.162649,14935.7582,16183.40445,18589.46932,30.195577226293764,41.581,44.191,45.348,0,0,0,"STABLE",0
"agg-4xtp4","120","123",10.324166117360805,3076.3175884052926,2000,59.889824,79.5387,84.9935,97.73636,9128.090068,15050.2834,16465.0708,18800.90286,30.532871710343553,42.763,44.958,46.484,0,0,0,"STABLE",0
"agg-4xtp4","120","777",10.437091347756166,3098.2192553073746,2000,59.732631999999995,77.9688,84.24185,96.96868,8995.7459725,14873.931000000002,16335.148799999999,18820.431529999998,30.202220541360905,42.09,44.356,46.292,0,0,0,"STABLE",0
"agg-4xtp4","150","42",10.401579230168199,3159.7813369612654,2000,59.804508999999996,78.33220000000001,84.8955,94.01746,9268.492668500001,14925.929100000003,16290.90945,18657.241019999998,30.41132693978116,42.193,44.757,45.735,0,0,0,"STABLE",0
"agg-4xtp4","150","123",10.3692658361735,3089.7560643692086,2000,59.718966,78.35159999999999,84.256,96.51831999999999,9175.145505999999,15144.983400000001,16525.38475,18841.37617,30.691897532599818,43.392,45.427,46.896,0,0,0,"STABLE",0
"agg-4xtp4","150","777",10.451756260863293,3102.572490768486,2000,60.049089,78.4925,83.80239999999999,97.42192999999999,9039.062534499999,14982.370700000001,16411.7775,18985.36256,30.347566294402174,42.544,44.834,46.607,0,0,0,"STABLE",0
"agg-4xtp4","200","42",10.430493807321952,3168.564978294455,2000,59.909183,78.7205,85.61565,96.55154,9332.309921499998,15121.652,16466.3771,18688.35503,30.621752956777055,43.02,45.109,46.02,0,0,0,"STABLE",0
"agg-4xtp4","200","123",10.317820708292288,3074.4268310016237,2000,59.674096,78.30630000000002,84.6767,94.88703999999998,9219.124695499999,15244.161100000001,16658.9595,18970.58322,30.840140415358324,43.655,45.656,46.959,0,0,0,"STABLE",0
"agg-4xtp4","200","777",10.484311169302067,3112.2363176738104,2000,59.981907,77.98580000000003,84.43135,96.09888,9085.326947000001,15037.304100000001,16562.5002,19116.78368,30.504172900181512,43.043,45.503,46.777,0,0,0,"STABLE",0
"pd-thresh16","10","42",8.80515251461904,2674.8204257384573,2000,101.5484675,108.321,109.94445,112.18137,6958.2320844999995,11166.993900000001,12390.2128,14635.79336,22.863311023882105,24.296,24.804,25.85,0,0,1997,"STABLE",0
"pd-thresh16","10","123",9.052986377871814,2697.5409834804095,2000,101.652969,108.5997,110.37010000000001,113.09525,6875.8578615,11311.245600000004,12513.18785,14557.79176,23.032975469109093,25.037,25.781,26.668,0,0,1995,"OVERLOADED",0.04491404400109316
